6,113,83,135,15
40,15,29,96,67
37,34,149,83,16
23,111,68,1,40
50,23,37,16,83
94,2,13,52,7
43,1,135,34,24
6,138,122,37,1
28,24,19,68,122
68,6,43,34,67
74,37,16,1,19
64,16,40,90,2
7,128,1,15,44
133,7,44,15,2
43,23,29,24,65
1,65,37,36,29
67,83,65,43,16
40,37,24,23,135
16,13,78,6,135
24,138,16,6,28
40,15,50,135,24
23,19,29,122,98
13,94,1,14,2
16,37,68,2,50
19,40,65,67,90
68,16,19,1,23
37,15,46,40,113
74,125,40,143,1
16,74,37,67,122
140,16,19,42,83
43,37,68,1,16
23,50,98,37,3
37,1,133,19,23
21,1,54,3,13
42,44,14,7,13
98,68,19,28,149
24,6,28,1,138
16,37,40,43,15
6,42,83,149,37
117,44,128,101,21
40,24,19,6,64
23,65,64,83,138
29,138,1,23,111
24,125,113,67,6
42,68,83,1,15
23,42,83,94,44
28,24,42,65,6
24,1,140,15,40
19,24,116,149,1
128,94,7,137,116
116,149,15,42,16
50,29,40,28,111
15,143,24,16,37
90,19,83,6,65
40,29,24,1,68
67,1,40,6,135
143,98,15,16,50
140,149,64,65,37
14,1,2,96,15
83,1,15,13,46
111,23,40,67,42
6,34,116,68,135
24,138,23,50,16
65,98,50,83,90
24,148,23,37,78
15,23,19,50,37
33,2,14,3,22
19,16,34,68,83
40,90,23,19,98
90,37,16,23,28
2,94,33,15,44
24,113,64,83,74
143,23,15,16,6
40,113,68,1,19
23,15,68,135,19
125,23,15,40,19
135,6,149,23,19
1,44,21,2,96
135,15,34,24,29
29,6,19,133,149
24,143,40,50,74
1,149,16,96,19
1,28,6,36,19
137,133,116,2,21
15,29,3,50,23
42,23,74,40,16
37,98,83,64,1
137,116,103,21,87
50,23,96,40,29
103,117,44,137,94
135,23,83,6,148
53,2,94,1,44
15,37,24,67,3
100,67,40,19,50
64,2,37,40,1
44,21,3,133,137
40,6,143,122,15
40,29,37,64,67
122,42,74,6,19
90,28,65,24,67
149,34,46,16,40
19,149,122,23,37
53,2,16,21,13
37,36,3,1,19
67,74,143,23,65
98,138,6,143,83
1,37,149,50,29
137,13,7,21,103
90,6,37,26,65
6,43,19,98,3
67,138,6,74,83
23,140,1,29,42
3,6,43,19,50
42,74,1,143,67
50,68,90,65,15
149,37,42,116,40
149,19,34,1,90
29,15,68,24,19
120,21,7,16,2
65,83,98,37,140
143,40,138,50,1
2,7,46,3,94
149,1,113,16,83
1,28,149,98,29
83,1,138,74,42
40,113,42,67,83
6,15,29,16,133
135,13,21,117,7
6,149,64,50,40
68,1,24,46,34
1,83,68,29,90
16,37,46,67,6
133,116,44,3,2
98,1,122,143,40
68,16,40,135,122
6,83,122,143,65
42,67,113,37,6
6,83,64,28,1
83,65,138,42,23
67,65,42,37,50
15,24,43,83,40
113,125,24,6,122
6,23,16,13,24
6,122,113,24,65
19,15,113,1,149
1,122,15,149,23
103,54,2,33,13
16,24,67,1,74
23,67,74,24,98
42,64,138,40,23
7,14,1,137,44
83,149,122,1,68
16,40,149,1,135
16,24,149,83,15
37,65,98,19,143
13,16,2,143,3
65,42,6,122,24
6,16,36,15,140
23,135,37,24,78
24,19,37,16,28
29,24,64,140,98
90,15,64,37,1
15,148,13,78,37
138,19,6,36,40
7,2,137,87,44
143,138,122,40,23
143,40,1,113,37
46,149,1,68,24
28,1,19,37,42
37,143,138,74,64
23,1,111,65,83
64,111,29,135,24
98,64,24,67,140
65,29,138,40,100
37,42,24,28,6
40,135,83,116,6
83,149,140,1,23
103,7,141,13,94
23,46,116,42,15
28,50,90,40,23
37,46,135,1,13
120,44,2,128,21
81,117,44,2,101
34,23,13,6,43
2,103,14,7,22
23,113,1,116,37
87,101,103,7,2
68,65,37,15,138
1,24,23,16,143
16,138,143,24,1
133,111,68,1,19
15,83,74,37,16
29,1,68,40,83
50,29,40,65,68
3,133,37,23,40
133,40,149,24,37
3,54,26,1,105
42,113,122,1,16
44,21,15,7,87
143,74,138,23,42
121,1,19,122,143
98,138,15,65,90
16,23,67,36,24
113,83,68,16,135
83,24,113,125,98
135,15,50,40,19
6,90,40,83,42
94,53,3,1,2
133,81,7,2,87
28,16,65,42,29
67,65,100,50,29
21,117,89,137,13
50,90,65,64,140
37,138,125,64,19
76,23,15,16,37
54,42,1,33,13
16,2,128,7,94
149,28,37,6,40
40,16,28,24,65
2,128,94,85,13
67,23,40,83,111
16,1,50,65,135
67,37,125,24,23
16,19,50,83,68
34,42,149,90,15
40,138,19,1,16
46,42,37,24,16
1,83,24,15,19
15,128,13,54,1
122,74,143,15,37
67,113,50,65,42
116,1,37,90,24
23,1,34,40,135
98,149,83,28,40
28,34,23,90,36
42,133,24,83,6
13,94,128,1,2
15,140,16,83,37
65,67,148,83,15
135,40,23,28,76
21,33,103,1,96
3,101,21,103,13
28,90,98,1,15
42,83,28,133,6
37,1,90,67,28
50,16,40,43,23
21,54,94,44,3
46,37,34,6,40
42,2,44,21,103
19,83,133,1,68
143,19,65,24,23
15,117,1,3,14
65,40,42,64,74
19,37,64,23,16
29,68,122,24,37
50,1,37,16,138
133,33,13,21,7
37,74,83,125,138
1,83,29,24,15
140,98,65,50,1
1,138,125,113,15
37,143,23,138,24
7,2,1,81,44
135,54,37,6,16
111,65,19,54,16
1,125,143,113,65
19,43,6,15,67
15,1,37,23,19
1,46,78,16,24
37,138,113,125,1
135,29,6,83,40
116,40,135,19,16
23,24,83,140,98
29,40,149,68,50
68,29,24,28,122
67,29,50,1,37
1,16,98,50,65
28,65,15,42,90
36,19,15,90,28
87,21,15,3,2
15,148,6,13,135
117,128,7,2,89
98,1,122,83,68
94,7,44,3,85
37,122,16,74,15
65,1,143,42,113
6,67,149,37,23
29,50,19,122,68
42,113,64,23,37
24,37,43,23,16
29,36,1,19,40
1,28,24,37,111
135,1,90,42,149
16,138,1,15,74
46,13,16,24,65
13,21,105,33,3
48,1,3,6,148
65,24,138,23,40
6,19,98,1,24
81,103,7,117,44
15,133,29,96,23
23,15,67,6,19
128,44,21,105,13
54,64,40,111,83
28,6,65,15,90
37,42,16,83,74
15,36,14,6,23
68,16,83,23,1
125,83,50,1,40
34,67,6,15,43
67,37,50,113,74
98,64,125,23,50
65,6,125,74,1
24,15,23,13,67
19,42,74,15,143
83,65,90,149,16
1,29,98,28,15
83,15,64,23,6
46,37,135,19,34
6,98,24,19,74
6,98,40,143,42
3,16,90,42,6
7,3,33,1,2
13,1,133,7,116
23,40,15,135,6
40,90,50,15,67
13,116,145,137,7
19,68,135,16,83
37,90,40,16,15
37,122,1,143,40
15,16,24,23,19
122,149,37,98,65
24,68,42,40,140
3,14,21,103,81
42,128,2,44,116
54,1,53,2,21
68,29,1,36,67
16,37,19,83,24
37,50,28,24,67
28,65,1,122,40
145,3,13,1,87
24,28,90,98,50
28,15,24,98,19
15,65,6,26,24
42,6,138,24,67
100,23,65,16,83
90,50,40,24,1
16,28,1,23,98
19,50,23,100,111
37,113,83,15,42
149,116,42,34,15
40,6,23,143,50
42,13,15,33,3
23,16,68,19,40
23,83,15,64,1
98,50,143,6,113
6,37,42,16,68
15,29,24,83,67
6,40,43,16,15
65,113,42,23,83
94,7,143,87,21
16,29,83,28,138
1,37,23,68,122
149,83,19,29,50
103,7,15,81,21
15,50,37,83,19
21,33,137,2,15
29,140,15,50,83
29,50,64,19,1
16,68,149,90,40
16,67,83,6,135
6,16,40,111,83
19,83,40,23,143
64,50,65,40,125
42,24,122,143,37
98,65,1,28,19
28,98,50,29,15
68,34,15,37,23
6,83,50,16,125
105,137,128,7,44
24,1,135,149,122
15,23,50,16,122
96,44,116,13,94
15,135,122,40,24
65,83,67,42,113
65,83,68,6,1
37,1,100,83,40
135,29,65,111,83
83,1,15,135,46
19,28,23,122,98
83,15,149,34,37
37,90,15,68,24
37,149,19,40,28
16,19,83,149,1
40,6,90,15,42
24,135,67,42,37
29,42,28,24,65
44,13,83,43,46
7,103,117,133,44
64,16,37,2,24
40,140,29,67,90
23,24,135,113,42
68,3,37,135,29
6,3,83,148,64
90,135,1,46,113
83,98,29,50,40
24,13,68,23,1
138,98,83,23,3
3,21,128,94,1
16,83,67,50,143
16,67,45,14,1
96,15,67,133,29
6,42,50,67,3
37,6,42,133,111
50,37,122,23,15
19,16,68,83,36
54,13,33,22,3
6,37,78,24,67
3,28,29,23,24
65,29,83,68,67
16,42,37,125,122
98,24,37,64,74
1,3,23,15,14
1,37,149,40,98
42,21,13,14,44
3,23,1,19,149
7,94,21,117,103
15,64,6,19,65
40,29,6,16,68
15,3,1,87,13
43,68,19,98,24
83,67,50,15,65
23,65,83,19,43
42,19,23,113,122
37,68,65,24,98
3,1,94,2,16
37,34,42,40,149
50,42,24,125,138
34,40,83,149,1
19,67,135,6,90
1,83,138,67,19
40,16,50,19,111
50,65,113,42,138
6,50,40,1,28
2,42,33,13,7
19,83,98,74,50
90,50,19,149,65
140,98,23,6,24
43,1,6,3,68
13,21,116,94,54
37,149,15,42,135
1,37,42,50,28
37,74,23,16,6
65,78,13,16,15
26,7,3,137,2
42,15,24,67,143
149,1,68,6,28
19,42,40,113,135
26,50,1,65,24
40,34,90,6,68
40,15,67,65,43
37,116,68,83,6
140,83,6,50,15
42,40,15,3,90
23,1,83,16,125
19,42,65,125,138
16,98,29,64,24
40,15,42,125,16
28,65,16,3,1
16,13,78,83,15
125,64,24,113,65
24,113,83,64,1
23,16,65,42,74
42,16,122,67,143
1,6,3,16,135
98,74,113,67,138
96,3,1,94,13
2,3,21,96,81
6,15,98,67,40
6,36,76,1,37
37,111,138,24,28
100,29,40,19,67
16,1,23,111,67
19,100,29,37,50
3,2,40,65,1
13,67,68,23,29
113,19,24,15,83
54,6,37,135,83
65,29,50,64,23
23,143,138,19,6
2,44,23,87,103
50,28,15,67,83
1,113,6,83,67
19,42,125,50,15
1,74,24,143,125
65,19,122,24,113
149,1,6,122,40
122,42,67,138,16
16,1,45,42,135
24,149,15,23,1
65,140,40,83,64
1,34,149,24,113
1,2,37,3,105
94,53,44,21,1
1,37,64,83,98
1,50,74,37,67
98,16,42,113,67
67,19,37,138,143
23,1,19,3,42
116,1,117,2,13
143,125,24,50,42
96,3,42,21,94
24,122,28,50,16
83,67,125,122,113
74,42,138,65,83
24,6,64,15,19
23,15,68,24,135
145,7,137,21,94
33,96,3,42,2
34,1,116,24,40
83,15,40,116,1
15,65,122,68,98
65,24,122,68,37
90,37,3,40,83
6,67,100,29,40
133,3,50,40,24
68,43,40,98,1
68,19,37,2,23
68,37,15,83,40
149,28,40,16,1
1,19,135,90,40
1,149,29,90,23
2,13,1,81,15
29,16,83,34,1
42,1,3,15,29
16,140,83,67,65
13,43,16,6,83
28,76,40,19,15
37,6,46,19,1
2,3,21,145,1
140,68,19,23,50
50,64,67,37,19
15,24,3,43,40
50,16,37,23,19
16,1,28,111,42
90,6,149,45,37
116,90,1,46,24
37,50,122,24,113
21,137,7,103,123
138,19,50,24,122
23,1,135,98,65
13,145,7,44,21
37,111,65,6,19
83,28,50,98,135
40,15,6,138,29
28,90,98,1,6
2,7,3,19,16
83,24,42,6,37
1,23,16,83,74
64,15,16,6,19
111,24,23,16,29
83,6,24,1,40
138,19,1,23,29
133,68,24,23,111
148,65,16,37,23
65,98,19,16,15
138,67,143,24,50
13,83,65,135,24
28,50,68,16,98
67,100,28,37,15
64,29,83,23,54
64,138,24,23,122
19,29,50,83,138
19,15,140,65,90
2,42,149,21,44
135,149,29,68,16
149,21,2,81,7
15,65,36,67,19
64,98,1,125,16
3,1,15,33,54
44,13,28,7,15
90,6,83,40,135
6,37,1,116,40
