00011696,00006425,00014886,00016890,00018106,00016008
00019502,00006250,00015289,00009855,00000766,00015723
00016012,00005222,00008980,00010926,00018756,00011878
00000866,00005812,00008978,00007772,00015007,00017657
00003722,00003594,00009604,00000439,00000512,00000430
00019042,00009031,00007300,00012364,00009003,00004365
00017099,00015057,00018384,00012408,00016645,00001380
00012723,00018101,00014123,00008528,00019809,00016544
00011412,00013455,00011207,00007082,00012792,00006093
00001526,00012677,00015289,00018033,00016008,00001517
00001526,00015291,00013574,00017683,00017046,00013583
00000326,00004245,00004025,00003390,00005035,00003551
00000871,00017262,00019113,00005630,00000032,00013784
00002248,00014705,00000338,00006102,00008034,00006093
00015294,00008625,00013412,00007891,00007895,00014834
00018313,00017737,00014837,00007470,00016862,00004854
00019042,00007202,00006992,00015289,00006658,00007049
00012422,00018041,00017733,00012858,00001311,00017020
00016883,00013547,00012761,00011040,00004806,00009988
00017574,00017058,00017063,00012784,00018770,00001085
00013837,00017831,00006199,00018546,00001418,00016496
00011696,00001354,00007809,00015818,00005011,00013165
00001526,00009042,00018700,00012653,00012552,00001253
00019042,00009728,00015137,00004694,00015835,00009693
00018313,00018410,00018696,00006385,00002453,00004792
00012620,00005139,00012852,00004900,00016983,00012615
00016707,00002999,00000446,00005088,00003208,00003277
00016707,00013162,00012953,00009097,00011652,00007659
00014869,00007615,00006913,00007497,00015179,00005635
00004182,00014487,00020131,00015675,00013346,00011842
00012832,00020199,00013528,00005233,00012532,00000938
00015294,00011042,00013865,00004590,00015040,00015017
00005465,00010347,00009317,00011903,00009551,00011283
00012673,00013426,00004585,00017408,00009889,00004418
00019042,00017483,00017471,00018635,00002321,00017804
00000757,00016632,00012804,00015423,00007459,00012796
00018313,00017337,00010988,00014706,00015061,00012648
00018318,00004929,00015820,00018799,00018731,00018361
00018313,00014956,00015787,00015819,00005258,00014610
00012982,00018819,00018202,00018746,00007456,00017187
00012405,00004894,00013681,00013547,00019987,00019521
00015116,00015470,00018512,00017772,00012985,00018465
00015294,00008881,00004330,00014647,00011784,00013336
00014869,00007004,00009868,00001886,00010681,00015211
00003321,00009387,00006065,00003814,00010758,00003317
00018313,00019505,00010583,00012946,00007146,00011693
00017099,00018218,00005573,00009742,00008591,00020129
00002248,00018477,00007247,00002801,00004033,00007191
00019042,00011573,00011449,00006134,00006964,00009559
00003471,00006415,00003390,00011485,00003678,00003884
00003719,00011328,00006039,00012652,00003062,00006329
00017114,00019955,00019113,00004540,00007304,00011784
00019042,00017986,00017657,00008463,00015620,00016942
00018163,00012479,00009173,00012417,00004742,00018720
00014418,00008752,00008562,00019588,00014340,00012534
00003719,00004116,00002057,00003987,00004072,00003249
00017717,00009042,00019778,00012390,00009759,00018539
00000757,00011326,00015823,00006042,00011480,00012902
00011696,00004476,00004237,00014633,00002319,00014549
00019502,00017179,00001516,00012030,00011023,00009848
00014235,00008597,00017430,00018263,00005589,00005060
00019042,00012942,00008700,00018512,00015108,00019050
00003438,00001211,00004072,00007381,00011453,00000734
00012673,00015935,00015999,00011440,00012304,00015202
00018313,00017225,00017098,00015435,00017756,00013174
00000866,00005409,00015557,00007360,00020038,00005941
00016012,00006383,00015026,00019232,00017380,00019790
00017574,00007919,00005215,00009042,00005248,00007297
00003719,00006601,00016762,00016181,00001922,00006973
00003719,00008533,00010096,00015846,00007464,00011735
00012405,00009692,00019561,00007744,00019253,00012181
00010139,00008507,00004664,00015428,00014521,00019776
00011696,00014722,00018383,00016396,00001437,00005021
00012982,00013137,00017877,00012656,00016381,00009885
00003719,00009581,00016681,00004078,00003234,00006863
00001526,00017288,00000938,00012992,00017784,00015380
00018313,00009185,00009107,00017391,00017614,00015383
00000866,00013939,00015375,00013694,00000552,00009724
00001526,00015762,00018923,00003173,00002645,00011857
00000757,00018389,00012408,00012733,00006732,00013104
00019042,00012207,00017567,00006393,00018571,00012473
00001249,00017833,00004941,00017976,00012718,00019568
00017574,00012116,00011048,00018165,00009706,00018768
00018039,00017030,00016865,00017949,00018464,00007473
00000247,00009751,00006578,00014829,00011647,00009097
00014235,00004990,00017344,00012262,00017872,00018036
00016707,00012456,00019488,00005003,00008772,00008684
00012620,00013954,00004935,00004744,00006192,00008199
00017882,00011042,00002432,00005357,00005061,00012433
00019502,00011921,00009756,00004967,00019480,00008554
00019042,00019040,00015137,00008671,00012785,00008997
